text,label
"Snap-on warns for 3Q, 2004 Vehicle tool maker sees profit below forecasts amid high steel prices, soft demand in Europe. NEW YORK (Reuters) - Snap-on Inc., which makes vehicle-repair tools, said Tuesday its third-quarter and full-year ",Business
"Schwarzenegger Opens Stop on  #39;Hydrogen Highway #39; California Gov. Arnold Schwarzenegger dedicated a pioneering hydrogen fueling station on Friday, calling it the first stop in a  quot;hydrogen highway quot; that would someday stretch across ",Business
Softbank to buy C amp;W IDC TOKYO - Softbank Corp said Tuesday it has decided to purchase Cable  amp; Wireless IDC Inc from its British parent Cable  amp; Wireless PLC in a bid to expand its telecom business.,Business
"President Gloria Arroyo: Philippines in Midst of Fiscal Crisis President Gloria Arroyo said the Philippines is already in the midst of a fiscal crisis, and urged the people to be prepared to make sacrifices for the nation #39;s well-being.",Business
"Pfizer's Celebrex Lifts Heart Attack Risk in Trial  NEW YORK (Reuters) - Pfizer Inc. on Friday said its popular  Celebrex arthritis drug more than doubled the risk of heart  attack in a large cancer-prevention trial, a setback that comes  just weeks after Merck   Co. recalled its similar Vioxx drug  due to heart safety risks.",Business
"POITIER SAW  #39;DEEP MISMATCH #39; Oscar-winning actor Sidney Poitier, who starred in  quot;To Sir, With Love, quot; took the stand yesterday to testify about another Hollywood drama: Michael Ovitz #39;s brief and ",Business
"Battery Sales Power Gillette Net income rose 14 to \$475 million, or 47 cents a share, thanks to a 15 increase in sales at its Duracell battery unit, which benefited from the series of hurricanes that hit Florida and other parts of the Southeast US during the period.",Business
"Consumer Confidence Falls in September (Reuters) Reuters - U.S. consumer confidence edged lower\in September for a second straight month as persistent worries\about the job market weighed on sentiment, a report on Tuesday\said.",Business
"Toymakers Disappoint, Warn on Holidays The two top U.S. toymakers, citing\uncertainty in the economy and the retail sector, posted\disappointing third-quarter results on Monday, and lowered\expectations for the crucial Thanksgiving-to-Christmas season.",Business
"Bies: Oil Has Shaped Fed Growth Outlook  IRVING, Texas (Reuters) - Oil prices have shaped the  Federal Reserve's outlook for the U.S. economy but an upgrade  of second quarter GDP boosts its confidence that growth is  regaining momentum, a top Fed policymaker said on Thursday.",Business
Circuit City's Sales Short-Circuit The company reports a decline in same-store sales for the third quarter.,Business
"Economy Adds 337,000 New Jobs Hard on the heels of Mr. Bush #39;s election victory comes a Labor Department report that shows employers added 337,000 new jobs to the economy in October.",Business
"U.S. Oil Prices Are Steady  SINGAPORE (Reuters) - U.S. oil prices were steady on  Thursday, holding gains of nearly \$2 from a day earlier after a  U.S. government report showed crude oil stocks falling to their  lowest level in five months.",Business
Microjets Catch the Eye of Wealthy Travelers A group of entrepreneurs backed by the likes of Bill Gates and Goldman Sachs Group Inc. are building tiny jets that cost a small fraction of what corporate executives and celebrities pay for luxury Learjets and Gulfstreams.,Business
"ADB Head Chino to Resign, Japan Recommends Kuroda as Successor Asian Development Bank President Tadao Chino today expressed his intention to resign and Japan said it will recommend Haruhiko Kuroda, an adviser to Prime Minister Junichiro Koizumi, to succeed him.",Business
"Handling of frequent-flier miles, tickets depends on appetite for risk US Airways, the most troubled of the nation's major airlines, has had to walk a tightrope the last few months, simultaneously talking tough to its unions while telling customers their frequent-flier miles are safe and the skies are still friendly.",Business
"US mobile deal keeps Vodafone in the spotlight America #39;s third-largest mobile operator, Sprint, yesterday agreed to buy the fifth-largest, Nextel, in a well-flagged cash and shares deal worth \$36.3billion (19billion).",Business
"WPP wins  #39;750m #39; US takeover bid Advertising giant WPP is to buy US firm Grey Global, in a deal which could be worth as much as 750m (\$1.3bn). The UK-based group won the auction for Grey Global, the seventh-largest advertiser in the US, against ",Business
